Time,SG1_1,SG1_2,SG1_3,SG2_1,SG2_2,SG2_3,SG3_1,SG3_2,SG3_3,SG4_1,SG4_2,SG4_3,SG5_1,SG5_2,SG5_3
0.2,2.5382,6.5512,2.5384,4.395,9.2157,4.3954,2.6351,6.6891,2.6354,2.6284,6.6807,2.6288,2.9488,7.142,2.949
0.4,5.0765,13.103,5.0768,8.7884,18.429,8.7892,5.2701,13.378,5.2707,5.2569,13.361,5.2576,5.8973,14.284,5.8979
0.7,8.8839,22.93,8.8845,15.375,32.243,15.377,9.2225,23.412,9.2237,9.1995,23.382,9.2007,10.32,24.995,10.321
1.0,12.691,32.757,12.692,21.959,46.051,21.961,13.175,33.445,13.177,13.142,33.403,13.144,14.741,35.706,14.743
