Time,SG_1_1_FEA [mu_eps],SG_1_2_FEA [mu_eps],SG_1_3_FEA [mu_eps],SG_2_1_FEA [mu_eps],SG_2_2_FEA [mu_eps],SG_2_3_FEA [mu_eps],SG_3_1_FEA [mu_eps],SG_3_2_FEA [mu_eps],SG_3_3_FEA [mu_eps]
0.125,162.01,405.54,162.0,150.84,438.45,150.84,184.29,421.26,183.69
0.25,220.41,551.65,220.39,205.24,596.25,205.23,250.65,572.95,249.84
0.375,137.77,344.87,137.75,128.27,372.89,128.27,156.72,358.25,156.22
0.5,-32.958,-82.538,-32.955,-30.679,-89.315,-30.679,-37.522,-85.773,-37.401
0.625,-182.5,-457.2,-182.49,-169.86,-495.1,-169.85,-207.91,-475.28,-207.24
0.75,-215.3,-539.39,-215.28,-200.37,-584.2,-200.37,-245.31,-560.76,-244.51
0.875,-110.39,-276.5,-110.38,-102.75,-299.32,-102.75,-125.72,-287.39,-125.31
1.0,65.192,163.22,65.185,60.69,176.54,60.69,74.187,169.58,73.947
