Time,SG1_1,SG1_2,SG1_3,SG2_1,SG2_2,SG2_3,SG3_1,SG3_2,SG3_3,SG4_1,SG4_2,SG4_3,SG5_1,SG5_2,SG5_3
0.2,2.5381,6.5521,2.5383,5.468,11.024,5.4687,2.6689,6.746,2.6692,2.6706,6.7449,2.671,2.9488,7.142,2.949
0.4,5.0762,13.104,5.0766,10.932,22.04,10.933,5.3377,13.492,5.3383,5.3412,13.49,5.3419,5.8973,14.284,5.8979
0.7,8.8834,22.933,8.8841,19.12,38.551,19.122,9.3407,23.61,9.3419,9.3468,23.607,9.3481,10.32,24.995,10.321
1.0,12.691,32.761,12.692,27.298,55.045,27.302,13.344,33.729,13.345,13.352,33.723,13.354,14.741,35.706,14.743
