Time,SG_1_1_FEA [eps],SG_1_2_FEA [eps],SG_1_3_FEA [eps],SG_2_1_FEA [eps],SG_2_2_FEA [eps],SG_2_3_FEA [eps],SG_3_1_FEA [eps],SG_3_2_FEA [eps],SG_3_3_FEA [eps]
0.125,0.00016195,0.00040554,0.00016194,0.00015081,0.00043845,0.00015081,0.00018423,0.00042116,0.00018363
0.25,0.00022033,0.00055164,0.00022031,0.00020519,0.00059626,0.00020519,0.00025057,0.00057282,0.00024976
0.375,0.00013771,0.00034487,0.0001377,0.00012824,0.0003729,0.00012824,0.00015667,0.00035817,0.00015617
0.5,-3.2945e-05,-8.2536e-05,-3.2943e-05,-3.0673e-05,-8.9316e-05,-3.0673e-05,-3.751e-05,-8.5753e-05,-3.7389e-05
0.625,-0.00018243,-0.00045719,-0.00018242,-0.00016982,-0.00049511,-0.00016982,-0.00020785,-0.00047517,-0.00020717
0.75,-0.00021521,-0.00053938,-0.00021519,-0.00020033,-0.00058421,-0.00020033,-0.00024523,-0.00056063,-0.00024443
0.875,-0.00011035,-0.0002765,-0.00011034,-0.00010273,-0.00029932,-0.00010273,-0.00012568,-0.00028732,-0.00012527
1.0,6.5166e-05,0.00016322,6.516e-05,6.0678e-05,0.00017655,6.0677e-05,7.4163e-05,0.00016954,7.3923e-05
